Company,Country,Link,Utility
AAE Naturstrom Vertrieb,Austria,www.aae.at,Electricity
Alpenenergie,Austria,www.alpenenergie.at,Electricity
aWATTar,Austria,www.awattar.com,Electricity
Drei Energie,Austria,www.drei-energie.at,Electricity
E-DI Dein Energie-Diskonter,Austria,www.e-di.at,Electricity
eFriends Energy,Austria,www.efriends.at,Electricity
ENAMO Ökostrom,Austria,www.enamo-oekostrom.at,Electricity
Energie AG Oberösterreich Vertrieb,Austria,www.energieag.at,Electricity
Energie Klagenfurt,Austria,www.energieklagenfurt.at,Electricity
Energie Ried,Austria,www.energieried.at,Electricity
Enstroga,Austria,www.enstroga.at,Electricity
EVU der Florian Lugitsch Gruppe,Austria,www.vulkanlandstrom.at,Electricity
Elektrizitätswerke Bad Radkersburg,Austria,www.ewerk-badradkersburg.at,Electricity
E-Werk Neumarkt,Austria,www.ewerk-neumarkt.at,Electricity
E-Werk Ranklleiten,Austria,www.ranklleiten.at,Electricity
E-Werk Redlmühle Stromhandel,Austria,www.drackstrom.at,Electricity
E-Werk Sigl & Co,Austria,www.ewerksigl.at,Electricity
First Energy,Austria,www.erste-energie.at,Electricity
Franz Extrem,Austria,www.franz-extrem.at,Electricity
Gutmann Gesellschaft,Austria,www.gutmann.cc,Electricity
Kiendler,Austria,www.kiendler.at,Electricity
Kraftwerk Glatzing-Rüstorf,Austria,www.kwg.at,Electricity
K.u.F. Drack & Co,Austria,www.kfd.at,Electricity
Anton Kittel Mühle Plaika,Austria,www.kittelmühle.at ,Electricity
McStrom,Austria,www.mc-strom.at,Electricity
MeinAlpenStrom,Austria,www.meinalpenstrom.at,Electricity
MyElectric Energievertriebs- und dienstleistungs,Austria,www.myelectric.at,Electricity
Naturkraft Energievertriebsgesellschaft,Austria,www.naturkraft.at,Electricity
oekostrom,Austria,www.oekostrom.at,Electricity
Pull,Austria,www.pull.at,Electricity
schlaustrom,Austria,www.schlaustrom.at,Electricity
Solar Graz,Austria,www.solar-graz.at,Electricity
Spotty Streaming Energy,Austria,www.spottyenergie.at,Electricity
Stadtwerke Bruck an der Mur,Austria,stadtwerke-bruck.at,Electricity
Stadtwerke Wörgl,Austria,www.swexstrom.com,Electricity
stromdiskont.at,Austria,www.stromdiskont.at,Electricity
TIWAG-Tiroler Wasserkraft,Austria,www.tiroler-wasserkraft.at,Electricity
Unsere Wasserkraft,Austria,www.wasserkraft.at,Electricity
VKW Vorarlberger Kraftwerke,Austria,www.vkw.at,Electricity
Voltino,Austria,www.voltino.at,Electricity
WEB Windenergie,Austria,www.web-gruenstrom.at,Electricity
Wüsterstrom E-Werk,Austria,www.wuesterstrom.at,Electricity
Engie,Belgium,https://www.engie.be/,Electricity
Energie 2030,Belgium,https://www.aeco.be/,Electricity
Luminus,Belgium,https://www.luminus.be,Electricity
Bolt,Belgium,https://www.boltenergie.be/,Electricity
EAC,Cyprus,https://www.eac.com.cy,Electricity
Bioland Promithia,Cyprus,https://www.biolandpromithia.com/,Electricity
HEP,Croatia,https://www.hep.hr/ods/elektre-25/elektra-zagreb/94,Electricity
GEN-I Zagreb,Croatia,https://www.gen-i.hr/en/?cr=1,Electricity
E.ON Energija,Croatia,https://www.eon.hr/hr.html,Electricity
Petrol,Croatia,https://www.petrol.hr/poslovna-rjesenja/energenti/elektrika,Electricity
MET Croatia Energy Trade,Croatia,https://hr.met.com/en/,Electricity
ENNA Opskrba,Croatia,https://www.enna.hr/enna-opskrba-t8,Electricity
ČEZ group,Czech Republic,https://www.cez.cz/en/home,Electricity
EPH,Czech Republic,https://www.epholding.cz/en/,Electricity
PRE group,Czech Republic,https://www.pre.cz/en/company-profile/about-us/,Electricity
Veitur,Iceland,https://www.veitur.is/,Electricity
RARIK,Iceland,https://www.rarik.is/,Electricity
Orkubú Vestfjarða,Iceland,https://www.ov.is/,Electricity
Norðurorka,Iceland,https://www.no.is/,Electricity
HS Veitur,Iceland,https://www.hsveitur.is/,Electricity
MVM Group,Hungary,https://mvm.hu/en,Electricity
Latvenergo,Latvia,https://latvenergo.lv/lv,Electricity
Eskom,South Africa,https://www.eskom.co.za/,Electricity
Israel Electric Corporation,Israel,https://www.iec.co.il/en,Electricity
Enemalta,Malta,https://www.enemalta.com.mt/,Electricity
ZSE,Slovakia,https://www.zse.sk/,Electricity
VSE,Slovakia,https://www.vse.sk/web/sk/domacnosti/uvod,Electricity
SSE,Slovakia,https://www.sse.sk/,Electricity
Caruna,Finland,https://www.caruna.fi/en,Electricity
Elenia,Finland,https://www.elenia.fi/en,Electricity
Helen Electricity,Finland,https://www.helen.fi/en,Electricity
Enea,Poland,https://www.enea.pl/,Electricity
Energa,Poland,https://www.energa.pl/dom,Electricity
PGE,Poland,https://www.gkpge.pl/investor-relations/PGE-Group,Electricity
Tauron,Poland,https://www.tauron.pl/dla-domu,Electricity
Vattenfall,Sweden,https://group.vattenfall.com/,Electricity
Fortum,Sweden,https://www.fortum.com/,Electricity
E.On,Sweden,https://www.eon.com/en.html,Electricity
Uniper,Sweden,https://www.uniper.energy/,Electricity
Ignitis,Lithuania,https://www.ignitis.lt/lt,Electricity
Elektrum Lietuva,Lithuania,https://www.elektrum.lt/lt/namams,Electricity
Enefit,Lithuania,https://www.enefit.com/home,Electricity
Perlas Energija,Lithuania,https://perlasenergija.lt/,Electricity
PPC,Greece,https://www.dei.gr/en/,Electricity
Terna,Greece,https://www.terna-energy.com/,Electricity
Protergia,Greece,https://www.protergia.gr/,Electricity
Endesa,Spain,https://www.endesa.com/,Electricity
Iberdrola,Spain,https://www.iberdrola.com/home,Electricity
Naturgy,Spain,https://www.naturgy.com/en/home,Electricity
EDP Hidrocantábrico Energia,Spain,https://www.edpenergia.es/es/hogares/,Electricity
Acciona,Spain,https://www.acciona-energia.com/,Electricity
Nexus,Spain,https://www.nexusenergia.com/en/,Electricity
Enel,Italy,https://www.enel.com/,Electricity
Eni,Italy,https://www.eni.com/en-IT/home.html,Electricity
Edison,Italy,https://www.edison.it/en,Electricity
A2A,Italy,https://www.a2a.eu/en,Electricity
EPH,Italy,https://www.epproduzione.com/en/eph-group,Electricity
Iren,Italy,https://www.gruppoiren.it/,Electricity
Sorgenia,Italy,https://www.sorgenia.it/,Electricity
Engie,Italy,https://www.engie.it/,Electricity
ERG,Italy,https://www.erg.eu/en/home,Electricity
Axpo Group,Italy,https://www.axpo.com/it/it/home.html,Electricity
Tirreno Power,Italy,https://www.tirrenopower.com/,Electricity
Saras,Italy,https://www.saras.it/en,Electricity
Agva Kraft,Norway,https://www.agva.no/,Electricity
AKRAFT,Norway,http://www.laerdalenerginett.no/akraft,Electricity
Årdal Energi KF,Norway,https://www.ardal-energi.no/,Electricity
AS Eidefoss,Norway,https://www.eidefoss.no/,Electricity
